,arc_llama3_8b_instruct,arc_llama_3_8b,arc_phi3_5,arc_gemma2_9b_instruct,arc_gemma2_9b,agnews_gemma2_9b_instruct,agnews_gemma2_9b,agnews_llama3_8b_instruct,agnews_llama_3_8b,agnews_phi3_5
"datamap_similarity_[1, 1, 1]_E-A-H",0.8165529010238908,0.7670648464163823,0.8617747440273038,0.8976109215017065,0.89419795221843,0.8728668941979523,0.8583617747440273,0.8609215017064846,0.8370307167235495,0.8276450511945392
"datamap_similarity_[1, 1, 1]_E-H-A",0.8122866894197952,0.7738907849829352,0.8686006825938567,0.9044368600682594,0.8967576791808873,0.8600682593856656,0.8481228668941979,0.8609215017064846,0.8293515358361775,0.8310580204778157
"datamap_similarity_[1, 1, 1]_H-A-E",0.8225255972696246,0.7610921501706485,0.8600682593856656,0.9001706484641638,0.893344709897611,0.8583617747440273,0.8472696245733788,0.8643344709897611,0.8276450511945392,0.8370307167235495
"datamap_similarity_[1, 1, 1]_H-E-A",0.8165529010238908,0.773037542662116,0.8686006825938567,0.9044368600682594,0.89419795221843,0.8617747440273038,0.8464163822525598,0.8592150170648464,0.8250853242320819,0.8250853242320819
"datamap_similarity_[2, 2, 2]_A-E-H",0.8199658703071673,0.7619453924914675,0.8617747440273038,0.9078498293515358,0.8959044368600683,0.8822525597269625,0.8592150170648464,0.856655290102389,0.8302047781569966,0.8233788395904437
"datamap_similarity_[2, 2, 2]_A-H-E",0.8148464163822525,0.7627986348122867,0.8600682593856656,0.9001706484641638,0.893344709897611,0.8856655290102389,0.8532423208191127,0.8643344709897611,0.8336177474402731,0.8327645051194539
"datamap_similarity_[2, 2, 2]_E-A-H",0.8284982935153583,0.7696245733788396,0.8660409556313993,0.9061433447098975,0.9001706484641638,0.8822525597269625,0.8549488054607508,0.8583617747440273,0.8336177474402731,0.8302047781569966
"datamap_similarity_[2, 2, 2]_E-H-A",0.8191126279863481,0.7551194539249146,0.8762798634812287,0.9044368600682594,0.8959044368600683,0.8813993174061433,0.8506825938566553,0.8617747440273038,0.8344709897610921,0.8250853242320819
"datamap_similarity_[2, 2, 2]_H-A-E",0.8233788395904437,0.7636518771331058,0.8540955631399317,0.8967576791808873,0.8950511945392492,0.8839590443686007,0.8540955631399317,0.8626279863481229,0.825938566552901,0.840443686006826
"datamap_similarity_[2, 2, 2]_H-E-A",0.8250853242320819,0.7610921501706485,0.8737201365187713,0.901877133105802,0.8993174061433447,0.886518771331058,0.8540955631399317,0.8617747440273038,0.8370307167235495,0.8284982935153583
"datamap_similarity_[3, 0, 0]_E-A-H",0.8020477815699659,0.7508532423208191,0.863481228668942,0.901877133105802,0.8916382252559727,0.8583617747440273,0.8472696245733788,0.8498293515358362,0.8233788395904437,0.8387372013651877
"datamap_similarity_[6, 0, 0]_E-A-H",0.818259385665529,0.7704778156996587,0.863481228668942,0.8950511945392492,0.8924914675767918,0.8720136518771331,0.8523890784982935,0.8532423208191127,0.8370307167235495,0.8302047781569966
random_0,0.7986348122866894,0.6561433447098977,0.8583617747440273,0.9010238907849828,0.85580204778157,0.8703071672354948,0.8310580204778157,0.8703071672354948,0.6757679180887372,0.7670648464163823
random_3,0.8071672354948806,0.742320819112628,0.8643344709897611,0.8959044368600683,0.8771331058020477,0.8583617747440273,0.8549488054607508,0.8378839590443686,0.8080204778156996,0.7892491467576792
random_6,0.8054607508532423,0.7431740614334471,0.8609215017064846,0.8984641638225256,0.8856655290102389,0.8515358361774744,0.8728668941979523,0.8498293515358362,0.8319112627986348,0.7952218430034129
similarity_0,0.7986348122866894,0.6561433447098977,0.8583617747440273,0.9010238907849828,0.85580204778157,0.8703071672354948,0.8310580204778157,0.8703071672354948,0.6757679180887372,0.7670648464163823
similarity_3,0.8080204778156996,0.7482935153583617,0.863481228668942,0.9010238907849828,0.893344709897611,0.856655290102389,0.8532423208191127,0.8617747440273038,0.8191126279863481,0.8395904436860068
similarity_6,0.8088737201365188,0.764505119453925,0.8575085324232082,0.8950511945392492,0.89419795221843,0.8745733788395904,0.8489761092150171,0.8626279863481229,0.8387372013651877,0.8430034129692833
